run_id,run_started_at,is_official_collection_window,collection_type,node_id,count,mean_velocity,std_velocity,min_velocity,max_velocity,skew_velocity
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N01_LY_THUONG_KIET,9,32.7778,2.4845,30.0,35.0,-0.2236
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N02_BA_THANG_HAI,9,28.7778,5.0062,20.0,35.0,-0.267
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N03_CMT8,9,34.0,0.0,34.0,34.0,0.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N04_THANH_THAI,9,30.7778,1.0304,29.0,32.0,-0.7649
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N05_TO_HIEN_THANH,9,30.2222,0.4157,30.0,31.0,1.3363
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N06_NGUYEN_TRI_PHUONG,9,33.3333,1.4907,32.0,35.0,0.2236
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N07_SU_VAN_HANH,9,28.6667,3.8006,22.0,33.0,-0.9081
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N08_DIEN_BIEN_PHU,9,41.0,0.0,41.0,41.0,0.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N09_CONG_HOA,9,35.6667,4.3461,24.0,39.0,-1.9986
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N10_TRUONG_CHINH,9,32.6667,6.2539,15.0,35.0,-2.4633
